DateKey,FullDate,Year,Quarter,Month,MonthName,Day,WeekDay,WeekDayName,IsWeekend
20220101,2022-01-01,2022,1,1,January,1,6,Saturday,1
20220102,2022-01-02,2022,1,1,January,2,7,Sunday,1
20220103,2022-01-03,2022,1,1,January,3,1,Monday,0
20220104,2022-01-04,2022,1,1,January,4,2,Tuesday,0
20220105,2022-01-05,2022,1,1,January,5,3,Wednesday,0
20220106,2022-01-06,2022,1,1,January,6,4,Thursday,0
20220107,2022-01-07,2022,1,1,January,7,5,Friday,0
20220108,2022-01-08,2022,1,1,January,8,6,Saturday,1
20220109,2022-01-09,2022,1,1,January,9,7,Sunday,1
20220110,2022-01-10,2022,1,1,January,10,1,Monday,0
20220111,2022-01-11,2022,1,1,January,11,2,Tuesday,0
20220112,2022-01-12,2022,1,1,January,12,3,Wednesday,0
20220113,2022-01-13,2022,1,1,January,13,4,Thursday,0
20220114,2022-01-14,2022,1,1,January,14,5,Friday,0
20220115,2022-01-15,2022,1,1,January,15,6,Saturday,1
20220116,2022-01-16,2022,1,1,January,16,7,Sunday,1
20220117,2022-01-17,2022,1,1,January,17,1,Monday,0
20220118,2022-01-18,2022,1,1,January,18,2,Tuesday,0
20220119,2022-01-19,2022,1,1,January,19,3,Wednesday,0
20220120,2022-01-20,2022,1,1,January,20,4,Thursday,0
20220121,2022-01-21,2022,1,1,January,21,5,Friday,0
20220122,2022-01-22,2022,1,1,January,22,6,Saturday,1
20220123,2022-01-23,2022,1,1,January,23,7,Sunday,1
20220124,2022-01-24,2022,1,1,January,24,1,Monday,0
20220125,2022-01-25,2022,1,1,January,25,2,Tuesday,0
20220126,2022-01-26,2022,1,1,January,26,3,Wednesday,0
20220127,2022-01-27,2022,1,1,January,27,4,Thursday,0
20220128,2022-01-28,2022,1,1,January,28,5,Friday,0
20220129,2022-01-29,2022,1,1,January,29,6,Saturday,1
20220130,2022-01-30,2022,1,1,January,30,7,Sunday,1
20220131,2022-01-31,2022,1,1,January,31,1,Monday,0
20220201,2022-02-01,2022,1,2,February,1,2,Tuesday,0
20220202,2022-02-02,2022,1,2,February,2,3,Wednesday,0
20220203,2022-02-03,2022,1,2,February,3,4,Thursday,0
20220204,2022-02-04,2022,1,2,February,4,5,Friday,0
20220205,2022-02-05,2022,1,2,February,5,6,Saturday,1
20220206,2022-02-06,2022,1,2,February,6,7,Sunday,1
20220207,2022-02-07,2022,1,2,February,7,1,Monday,0
20220208,2022-02-08,2022,1,2,February,8,2,Tuesday,0
20220209,2022-02-09,2022,1,2,February,9,3,Wednesday,0
20220210,2022-02-10,2022,1,2,February,10,4,Thursday,0
20220211,2022-02-11,2022,1,2,February,11,5,Friday,0
20220212,2022-02-12,2022,1,2,February,12,6,Saturday,1
20220213,2022-02-13,2022,1,2,February,13,7,Sunday,1
20220214,2022-02-14,2022,1,2,February,14,1,Monday,0
20220215,2022-02-15,2022,1,2,February,15,2,Tuesday,0
20220216,2022-02-16,2022,1,2,February,16,3,Wednesday,0
20220217,2022-02-17,2022,1,2,February,17,4,Thursday,0
20220218,2022-02-18,2022,1,2,February,18,5,Friday,0
20220219,2022-02-19,2022,1,2,February,19,6,Saturday,1
20220220,2022-02-20,2022,1,2,February,20,7,Sunday,1
20220221,2022-02-21,2022,1,2,February,21,1,Monday,0
20220222,2022-02-22,2022,1,2,February,22,2,Tuesday,0
20220223,2022-02-23,2022,1,2,February,23,3,Wednesday,0
20220224,2022-02-24,2022,1,2,February,24,4,Thursday,0
20220225,2022-02-25,2022,1,2,February,25,5,Friday,0
20220226,2022-02-26,2022,1,2,February,26,6,Saturday,1
20220227,2022-02-27,2022,1,2,February,27,7,Sunday,1
20220228,2022-02-28,2022,1,2,February,28,1,Monday,0
20220301,2022-03-01,2022,1,3,March,1,2,Tuesday,0
20220302,2022-03-02,2022,1,3,March,2,3,Wednesday,0
20220303,2022-03-03,2022,1,3,March,3,4,Thursday,0
20220304,2022-03-04,2022,1,3,March,4,5,Friday,0
20220305,2022-03-05,2022,1,3,March,5,6,Saturday,1
20220306,2022-03-06,2022,1,3,March,6,7,Sunday,1
20220307,2022-03-07,2022,1,3,March,7,1,Monday,0
20220308,2022-03-08,2022,1,3,March,8,2,Tuesday,0
20220309,2022-03-09,2022,1,3,March,9,3,Wednesday,0
20220310,2022-03-10,2022,1,3,March,10,4,Thursday,0
20220311,2022-03-11,2022,1,3,March,11,5,Friday,0
20220312,2022-03-12,2022,1,3,March,12,6,Saturday,1
20220313,2022-03-13,2022,1,3,March,13,7,Sunday,1
20220314,2022-03-14,2022,1,3,March,14,1,Monday,0
20220315,2022-03-15,2022,1,3,March,15,2,Tuesday,0
20220316,2022-03-16,2022,1,3,March,16,3,Wednesday,0
20220317,2022-03-17,2022,1,3,March,17,4,Thursday,0
20220318,2022-03-18,2022,1,3,March,18,5,Friday,0
20220319,2022-03-19,2022,1,3,March,19,6,Saturday,1
20220320,2022-03-20,2022,1,3,March,20,7,Sunday,1
20220321,2022-03-21,2022,1,3,March,21,1,Monday,0
20220322,2022-03-22,2022,1,3,March,22,2,Tuesday,0
20220323,2022-03-23,2022,1,3,March,23,3,Wednesday,0
20220324,2022-03-24,2022,1,3,March,24,4,Thursday,0
20220325,2022-03-25,2022,1,3,March,25,5,Friday,0
20220326,2022-03-26,2022,1,3,March,26,6,Saturday,1
20220327,2022-03-27,2022,1,3,March,27,7,Sunday,1
20220328,2022-03-28,2022,1,3,March,28,1,Monday,0
20220329,2022-03-29,2022,1,3,March,29,2,Tuesday,0
20220330,2022-03-30,2022,1,3,March,30,3,Wednesday,0
20220331,2022-03-31,2022,1,3,March,31,4,Thursday,0
20220401,2022-04-01,2022,2,4,April,1,5,Friday,0
20220402,2022-04-02,2022,2,4,April,2,6,Saturday,1
20220403,2022-04-03,2022,2,4,April,3,7,Sunday,1
20220404,2022-04-04,2022,2,4,April,4,1,Monday,0
20220405,2022-04-05,2022,2,4,April,5,2,Tuesday,0
20220406,2022-04-06,2022,2,4,April,6,3,Wednesday,0
20220407,2022-04-07,2022,2,4,April,7,4,Thursday,0
20220408,2022-04-08,2022,2,4,April,8,5,Friday,0
20220409,2022-04-09,2022,2,4,April,9,6,Saturday,1
20220410,2022-04-10,2022,2,4,April,10,7,Sunday,1
20220411,2022-04-11,2022,2,4,April,11,1,Monday,0
20220412,2022-04-12,2022,2,4,April,12,2,Tuesday,0
20220413,2022-04-13,2022,2,4,April,13,3,Wednesday,0
20220414,2022-04-14,2022,2,4,April,14,4,Thursday,0
20220415,2022-04-15,2022,2,4,April,15,5,Friday,0
20220416,2022-04-16,2022,2,4,April,16,6,Saturday,1
20220417,2022-04-17,2022,2,4,April,17,7,Sunday,1
20220418,2022-04-18,2022,2,4,April,18,1,Monday,0
20220419,2022-04-19,2022,2,4,April,19,2,Tuesday,0
20220420,2022-04-20,2022,2,4,April,20,3,Wednesday,0
20220421,2022-04-21,2022,2,4,April,21,4,Thursday,0
20220422,2022-04-22,2022,2,4,April,22,5,Friday,0
20220423,2022-04-23,2022,2,4,April,23,6,Saturday,1
20220424,2022-04-24,2022,2,4,April,24,7,Sunday,1
20220425,2022-04-25,2022,2,4,April,25,1,Monday,0
20220426,2022-04-26,2022,2,4,April,26,2,Tuesday,0
20220427,2022-04-27,2022,2,4,April,27,3,Wednesday,0
20220428,2022-04-28,2022,2,4,April,28,4,Thursday,0
20220429,2022-04-29,2022,2,4,April,29,5,Friday,0
20220430,2022-04-30,2022,2,4,April,30,6,Saturday,1
20220501,2022-05-01,2022,2,5,May,1,7,Sunday,1
20220502,2022-05-02,2022,2,5,May,2,1,Monday,0
20220503,2022-05-03,2022,2,5,May,3,2,Tuesday,0
20220504,2022-05-04,2022,2,5,May,4,3,Wednesday,0
20220505,2022-05-05,2022,2,5,May,5,4,Thursday,0
20220506,2022-05-06,2022,2,5,May,6,5,Friday,0
20220507,2022-05-07,2022,2,5,May,7,6,Saturday,1
20220508,2022-05-08,2022,2,5,May,8,7,Sunday,1
20220509,2022-05-09,2022,2,5,May,9,1,Monday,0
20220510,2022-05-10,2022,2,5,May,10,2,Tuesday,0
20220511,2022-05-11,2022,2,5,May,11,3,Wednesday,0
20220512,2022-05-12,2022,2,5,May,12,4,Thursday,0
20220513,2022-05-13,2022,2,5,May,13,5,Friday,0
20220514,2022-05-14,2022,2,5,May,14,6,Saturday,1
